profile,dataset,total_tasks,adversarial_tasks,benign_tasks,attack_success_rate,secret_leakage_rate,unsafe_tool_invocation_rate,benign_task_success_rate,false_positive_rate,false_negative_rate,tool_block_rate,user_confirmation_rate,average_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,throughput_tasks_per_second
no_defense,benchmark,800,500,300,1.0,0.128,0.384,1.0,0.0,1.0,0.0,0.0,1.729,1.683,2.193,2.194,578.301
no_defense,adaptive,440,440,0,1.0,1.0,0.4,0.0,0.0,1.0,0.0,0.0,1.692,1.683,2.193,2.193,591.008
no_defense,all,1240,940,300,1.0,0.5362,0.3915,1.0,0.0,1.0,0.0,0.0,1.716,1.683,2.193,2.194,582.747
prompt_only,benchmark,800,500,300,1.0,0.128,0.384,1.0,0.0,1.0,0.0,0.0,1.779,1.733,2.243,2.244,562.065
prompt_only,adaptive,440,440,0,1.0,1.0,0.4,0.0,0.0,1.0,0.0,0.0,1.742,1.733,2.243,2.243,574.075
prompt_only,all,1240,940,300,1.0,0.5362,0.3915,1.0,0.0,1.0,0.0,0.0,1.766,1.733,2.243,2.244,566.268
rules_only,benchmark,800,500,300,0.24,0.032,0.096,1.0,0.0,0.24,0.12,0.12,2.13,2.084,2.595,2.595,469.424
rules_only,adaptive,440,440,0,0.1705,0.6682,0.0682,0.0,0.0,0.1705,0.0,0.3318,2.093,2.084,2.594,2.594,477.763
rules_only,all,1240,940,300,0.2074,0.3298,0.083,1.0,0.0,0.2074,0.0774,0.1952,2.117,2.084,2.594,2.595,472.349
ml_only,benchmark,800,500,300,0.24,0.0,0.336,1.0,0.0,0.24,0.08,0.0,2.93,2.884,3.394,3.395,341.29
ml_only,adaptive,440,440,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.898,2.883,3.393,3.394,345.116
ml_only,all,1240,940,300,0.1277,0.0,0.1787,1.0,0.0,0.1277,0.4065,0.0,2.919,2.884,3.394,3.395,342.637
policy_only,benchmark,800,500,300,0.432,0.0,0.24,1.0,0.4,0.432,0.08,0.135,2.495,2.439,2.964,2.983,400.734
policy_only,adaptive,440,440,0,0.2545,0.6,0.0364,0.0,0.0,0.2545,0.3409,0.0591,2.471,2.462,2.973,2.976,404.639
policy_only,all,1240,940,300,0.3489,0.2809,0.1447,1.0,0.4,0.3489,0.1726,0.1081,2.487,2.455,2.971,2.979,402.111
full_sentinelagent,benchmark,800,500,300,0.144,0.0,0.156,1.0,0.4,0.144,0.1475,0.12,3.587,3.524,4.052,4.076,278.813
full_sentinelagent,adaptive,440,440,0,0.1636,0.5091,0.0,0.0,0.0,0.1636,0.4568,0.0341,3.549,3.541,4.051,4.053,281.74
full_sentinelagent,all,1240,940,300,0.1532,0.2383,0.083,1.0,0.4,0.1532,0.2573,0.0895,3.573,3.537,4.052,4.073,279.845
no_retrieval_screening,benchmark,800,500,300,0.192,0.0,0.18,1.0,0.4,0.192,0.1325,0.12,3.187,3.125,3.658,3.674,313.734
no_retrieval_screening,adaptive,440,440,0,0.1636,0.5091,0.0,0.0,0.0,0.1636,0.4568,0.0341,3.147,3.138,3.649,3.652,317.717
no_retrieval_screening,all,1240,940,300,0.1787,0.2383,0.0957,1.0,0.4,0.1787,0.2476,0.0895,3.173,3.136,3.651,3.673,315.136
no_tool_risk_classifier,benchmark,800,500,300,0.504,0.0,0.336,1.0,0.0,0.504,0.08,0.0,2.985,2.924,3.451,3.473,335.053
no_tool_risk_classifier,adaptive,440,440,0,0.8182,0.8182,0.3273,0.0,0.0,0.8182,0.1818,0.0,2.949,2.939,3.449,3.452,339.115
no_tool_risk_classifier,all,1240,940,300,0.6511,0.383,0.3319,1.0,0.0,0.6511,0.1161,0.0,2.972,2.935,3.45,3.472,336.484
no_exfiltration_detector,benchmark,800,500,300,0.144,0.0,0.156,1.0,0.4,0.144,0.1325,0.135,3.092,3.024,3.552,3.574,323.453
no_exfiltration_detector,adaptive,440,440,0,0.2,0.5455,0.0182,0.0,0.0,0.2,0.3977,0.0568,3.068,3.056,3.568,3.592,325.91
no_exfiltration_detector,all,1240,940,300,0.1702,0.2553,0.0915,1.0,0.4,0.1702,0.2266,0.1073,3.083,3.044,3.566,3.588,324.321
no_policy_engine,benchmark,800,500,300,1.0,0.128,0.384,1.0,0.0,1.0,0.0,0.0,2.629,2.583,3.093,3.094,380.351
no_policy_engine,adaptive,440,440,0,1.0,1.0,0.4,0.0,0.0,1.0,0.0,0.0,2.592,2.582,3.092,3.093,385.826
no_policy_engine,all,1240,940,300,1.0,0.5362,0.3915,1.0,0.0,1.0,0.0,0.0,2.616,2.583,3.093,3.094,382.276
